国,ファイル名
日本,JP.csv
アメリカ,US.csv
北朝鮮,KP.csv
イギリス,GB.csv
アルバ,AW.csv
アフガニスタン,AF.csv
バルバドス,BB.csv
ブルネイ,BN.csv
ブータン,BT.csv
カナダ,CA.csv
スイス,CH.csv
チリ,CL.csv
クリマス島,CX.csv
ケイマン諸島,KY.csv
ドイツ,DE.csv
ジブチ,DJ.csv
ドミニカ国,DM.csv
デンマーク,DK.csv
ドミニカ共和国,DO.csv
アルジェリア,DZ.csv
エクアドル,EC.csv
エジプト,EG.csv
エリトリア,ER.csv
西サハラ,EH.csv
スペイン,ES.csv
エストニア,EE.csv
エチオピア,ET.csv
香港,HK.csv
グアム,GU.csv
ガイアナ,GY.csv
ハード島とマクドナルド諸島,HM.csv
ホンジュラス,HN.csv
クロアチア,HR.csv
ハンガリー,HU.csv
インドネシア,ID.csv
マン島,IM.csv
インド,IN.csv
フランス領ギアナ,GF.csv
カザフスタン,KZ.csv
ケニア,KE.csv
キルギス,KG.csv
カンボジア,KH.csv
キリバス,KI.csv
セントクリストファー・ネイビス,KN.csv
韓国,KR.csv
クウェート,KW.csv
ラオス,LA.csv
レバノン,LB.csv
リベリア,LR.csv
リビア,LY.csv
セントルシア,LC.csv
リヒテンシュタイン,LI.csv
スリランカ,LK.csv
レソト,LS.csv
リトアニア,LT.csv
ルクセンブルク,LU.csv
ラトビア,LV.csv
マカオ,MO.csv
サン・マルタン,MF.csv
モロッコ,MA.csv
モナコ,MC.csv
モルドバ,MD.csv
マダガスカル,MG.csv
モルディブ,MV.csv
メキシコ,MX.csv
マーシャル諸島,MH.csv
マケドニア,MK.csv
マリ,ML.csv
マルタ,MT.csv
ミャンマー,MM.csv
モンテネグロ,ME.csv
モンゴル,MN.csv
北マリアナ諸島,MP.csv
モザンビーク,MZ.csv
モーリタニア,MR.csv
モントセラト,MS.csv
マルティニーク,MQ.csv
モーリシャス,MU.csv
マラウイ,MW.csv
マレーシア,MY.csv
マヨット,YT.csv
ナミビア,NA.csv
ニューカレドニア,NC.csv
ニジェール,NE.csv
ノーフォーク島,NF.csv
ナイジェリア,NG.csv
ニカラグア,NI.csv
ニウエ,NU.csv
オランダ,NL.csv
ノルウェー,NO.csv
ネパール,NP.csv
ナウル,NR.csv
ニュージーランド,NZ.csv
オーマン,OM.csv
パキスタン,PK.csv
パナマ,PA.csv
ピトケアン,PN.csv
ペルー,PE.csv
フィリピン,PH.csv
パラオ,PW.csv
パプアニューギニア,PG.csv
ポーランド,PL.csv
プエルトリコ,PR.csv
ポルトガル,PT.csv
